ra,dec,parallax,parallax_error,parallax_over_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,teff_gspphot,pmra,pmdec,radial_velocity,radial_velocity_error,mh_gspphot,ruwe,phot_bp_rp_excess_factor,distance_pc,M_G,color,pm_total,v_t,iso_label,iso_score,stability
260.8537258190673,-66.98726054011,5.01109077123084,0.018964685,264.23273,14.4928255,15.365374,13.568258,1.7971153,4131.892,-70.92543095916636,-39.10060789537901,-6.287583,2.453435,0.157,1.0169686,1.3110435,199.55735101449315,7.992486848263997,1.7971153,80.9893467965488,76.60797246371754,-1,-0.004077329008840391,1.0
317.539793541584,67.01094872639277,9.721294081523569,0.01409194,689.84784,13.992003,15.146629,12.921777,2.2248526,3716.7654,103.72023428175144,65.09342781684131,-50.053455,2.1201606,-0.0068,1.1238034,1.3783739,102.86696314440424,8.930623406450358,2.2248526,122.45424183917737,59.70739095537499,-1,-0.07624124642072672,1.0
203.33472467243053,-69.92218628076553,4.562150211177204,0.012419297,367.3437,13.393389,13.922997,12.700801,1.2221966,5236.109,-110.9437024728976,32.15051204582137,-4.4100537,2.304723,-0.8111,0.9507721,1.2418846,219.19488699648997,6.689236902742831,1.2221966,115.50827045369232,120.01121765107861,-1,-0.017049675830397182,1.0
61.50504595285519,-38.99768071554946,11.501181941491245,0.012485163,921.188,8.72236,9.079462,8.195945,0.88351727,5569.641,-24.42755686116905,-147.60699547078133,-2.0063844,0.13606213,0.2025,1.0381136,1.2055113,86.94758548183961,4.026072368851096,0.88351727,149.61460706133244,61.660900686417996,-1,-0.01635887329611241,1.0
327.56699835779966,-18.2113209853482,6.998147483398282,0.046590388,150.20583,15.439521,16.681551,14.331823,2.3497276,3569.4424,149.57588064059476,-66.69932192859915,-103.41594,7.0548477,-0.2254,1.0614175,1.3986151,142.89495932635057,9.664436454203368,2.3497276,163.77345210730692,110.92737968586971,-1,-0.0812627558218929,1.0
266.5466307343765,15.011055766750948,7.1544407542080695,0.013932411,513.5106,12.41895,13.037492,11.670978,1.3665142,4566.18,-67.05690099111187,53.15296041417327,15.960455,0.7894618,0.1269,1.0210832,1.2485566,139.7733288114552,6.691828458226151,1.3665142,85.56789801860539,56.69092114147849,-1,-0.007759437550342807,0.98
228.2456490163108,74.86496041528066,12.488716928983637,0.016338585,764.36957,14.378777,15.842212,13.196804,2.6454077,3497.7856,-218.75991422987252,-11.43037038944692,-47.590073,2.1782057,0.0996,1.1610179,1.4386675,80.07227689493179,9.861366109690607,2.6454077,219.05833342080626,83.14196777131404,-1,-0.06372788853447675,1.0
126.22978552915332,-23.15361496255776,5.170321129081684,0.041329157,125.10106,5.6464987,5.677458,5.5530653,0.12439251,9355.272,-26.76661679756755,29.311577755735,30.374744,0.1803311,0.0124,0.7798781,1.1635928,193.41158412294072,-0.7859137100070903,0.12439251,39.69408476484027,36.390382161573925,-1,-0.02173515978640328,1.0
259.48789825532106,6.549598757816218,9.60860994511438,0.0187518,512.41,13.787558,14.862199,12.759161,2.1030378,3823.4016,5.1558707436227404,-57.8821443102578,2.8222783,1.7958829,-0.0126,1.120855,1.3548849,104.07332649697814,8.700860819283573,2.1030378,58.11132104055503,28.666754432287654,-1,-0.008886961202086208,1.0
246.7559836560239,-63.88804941205303,5.152608984557379,0.021894285,235.34036,14.674923,15.51918,13.772021,1.747159,4159.985,-62.84462390919573,-113.90015845033396,49.31169,4.5470977,-0.3668,1.1482694,1.3001271,194.07643836298251,8.235058932281792,1.747159,130.087250909916,119.67016537855346,-1,-0.06167496988400645,1.0
